goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka
cpu: Apple M4 Max
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    6486	     20680 ns/op	1242.76 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    6024	     20690 ns/op	1242.13 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    5730	     20767 ns/op	1237.51 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    6223	     21551 ns/op	1192.54 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-16                 	    5902	     21125 ns/op	1216.55 MB/s	   64328 B/op	     713 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    4963	     23691 ns/op	1084.82 MB/s	   64688 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    5540	     23152 ns/op	1110.03 MB/s	   64688 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    5757	     22774 ns/op	1128.50 MB/s	   64688 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    5599	     28461 ns/op	 902.99 MB/s	   64689 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    5329	     52292 ns/op	 491.47 MB/s	   64690 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    5738	     24379 ns/op	1054.20 MB/s	   64688 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    5962	     23936 ns/op	1073.67 MB/s	   64688 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    5805	     24002 ns/op	1070.75 MB/s	   64688 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    4936	     42048 ns/op	 611.21 MB/s	   64689 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/128B/policy-observed-16        	    4119	     27972 ns/op	 918.78 MB/s	   64689 B/op	     720 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/1024B/transport-floor-16       	  374224	      1028 ns/op	112146.81 MB/s	    2688 B/op	       1 allocs/op
BenchmarkProducerPolicyOverhead/batch/100-records/1024B/transport-floor-16       	   38402	      2887 ns/op	39940.79 MB/s	    2688 B/op	       1 allocs/op
